DATE,ESPECTADORES,t,sin1,cos1,sin2,cos2,sin3,cos3,sin4,cos4,sin5,cos5,cos6
01NOV1999,9757839,191,-0.5,0.8660254038,-0.866025404,0.5,-1,-6.36631E-15,-0.866025404,-0.5,-0.5,-0.866025404,-1
01DEC1999,14446017,192,-3.91887E-15,1,-7.83774E-15,1,-1.17566E-14,1,-1.56755E-14,1,-1.95943E-14,1,1
01JAN2000,14518000,193,0.5,0.8660254038,0.8660254038,0.5,1,1.714691E-14,0.8660254038,-0.5,0.5,-0.866025404,-1
01FEB2000,13293000,194,0.8660254038,0.5,0.8660254038,-0.5,2.253721E-14,-1,-0.866025404,-0.5,-0.866025404,0.5,1
01MAR2000,10718000,195,1,9.309173E-15,1.861835E-14,-1,-1,-2.79275E-14,-3.72367E-14,1,1,-1.02976E-14,-1
01APR2000,11575000,196,0.8660254038,-0.5,-0.866025404,-0.5,-3.33178E-14,1,0.8660254038,-0.5,-0.866025404,-0.5,1
01MAY2000,7967000,197,0.5,-0.866025404,-0.866025404,0.5,1,3.870812E-14,-0.866025404,-0.5,0.5,0.8660254038,-1
01JUN2000,7348000,198,1.469948E-14,-1,-2.9399E-14,1,-1.2745E-14,-1,-5.87979E-14,1,-4.01895E-14,-1,1
01JUL2000,11335000,199,-0.5,-0.866025404,0.8660254038,0.5,-1,7.35469E-15,0.8660254038,-0.5,-0.5,0.8660254038,-1
01AUG2000,12399000,200,-0.866025404,-0.5,0.8660254038,-0.5,1.964387E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,1
01SEP2000,11453000,201,-1,-5.87892E-15,1.175785E-14,-1,1,3.425916E-15,-2.35157E-14,1,-1,-4.36055E-14,-1
01OCT2000,12238000,202,-0.866025404,0.5,-0.866025404,-0.5,8.816219E-15,-1,0.8660254038,-0.5,0.8660254038,0.5,1
01NOV2000,10797000,203,-0.5,0.8660254038,-0.866025404,0.5,-1,-1.42065E-14,-0.866025404,-0.5,-0.5,-0.866025404,-1
01DEC2000,14016000,204,-1.12692E-14,1,-2.25385E-14,1,-1.95968E-14,1,-4.50769E-14,1,-1.37136E-14,1,1
