DATE,ESPECTADORES,t,sin1,cos1,sin2,cos2,sin3,cos3,sin4,cos4,sin5,cos5,cos6
01AUG1987,9234738,44,-0.866025404,-0.5,0.8660254038,-0.5,-9.79965E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,1
01SEP1987,6327204,45,-1,-2.69484E-15,5.389684E-15,-1,1,9.790985E-16,-1.07794E-14,1,-1,7.842072E-15,-1
01OCT1987,8991172,46,-0.866025404,0.5,-0.866025404,-0.5,6.369401E-15,-1,0.8660254038,-0.5,0.8660254038,0.5,1
01NOV1987,5077428,47,-0.5,0.8660254038,-0.866025404,0.5,-1,2.451151E-15,-0.866025404,-0.5,-0.5,-0.866025404,-1
01DEC1987,5534582,48,-9.79717E-16,1,-1.95943E-15,1,-2.93915E-15,1,-3.91887E-15,1,-4.89859E-15,1,1
01JAN1988,11521428,49,0.5,0.8660254038,0.8660254038,0.5,1,8.329455E-15,0.8660254038,-0.5,0.5,-0.866025404,-1
01FEB1988,5970190,50,0.8660254038,0.5,0.8660254038,-0.5,-4.91097E-16,-1,-0.866025404,-0.5,-0.866025404,0.5,1
01MAR1988,7808768,51,1,2.817307E-15,5.634613E-15,-1,-1,-4.89921E-15,-1.12692E-14,1,1,3.428392E-15,-1
01APR1988,7230095,52,0.8660254038,-0.5,-0.866025404,-0.5,3.921346E-15,1,0.8660254038,-0.5,-0.866025404,-0.5,1
01MAY1988,4218875,53,0.5,-0.866025404,-0.866025404,0.5,1,1.468957E-15,-0.866025404,-0.5,0.5,0.8660254038,-1
01JUN1988,4486385,54,4.654896E-15,-1,-9.30979E-15,1,6.85926E-15,-1,-1.86196E-14,1,1.958197E-15,-1,1
01JUL1988,4231782,55,-0.5,-0.866025404,0.8660254038,0.5,-1,1.961292E-15,0.8660254038,-0.5,-0.5,0.8660254038,-1
01AUG1988,5210469,56,-0.866025404,-0.5,0.8660254038,-0.5,-3.42901E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,1
01SEP1988,5321766,57,-1,-2.93977E-15,5.879543E-15,-1,1,8.819314E-15,-1.17591E-14,1,-1,-4.88002E-16,-1
01OCT1988,4555609,58,-0.866025404,0.5,-0.866025404,-0.5,-1.23796E-18,-1,0.8660254038,-0.5,0.8660254038,0.5,1
01NOV1988,4146407,59,-0.5,0.8660254038,-0.866025404,0.5,-1,-5.38906E-15,-0.866025404,-0.5,-0.5,-0.866025404,-1
01DEC1988,4932106,60,-4.77736E-15,1,-9.55472E-15,1,-1.07794E-14,1,-1.91094E-14,1,9.821934E-16,1,1
01JAN1989,9913116,61,0.5,0.8660254038,0.8660254038,0.5,1,1.958816E-15,0.8660254038,-0.5,0.5,-0.866025404,-1
01FEB1989,5345289,62,0.8660254038,0.5,0.8660254038,-0.5,7.349119E-15,-1,-0.866025404,-0.5,-0.866025404,0.5,1
01MAR1989,9602365,63,1,6.61495E-15,1.32299E-14,-1,-1,1.471433E-15,-2.64598E-14,1,1,-2.45239E-15,-1
01APR1989,5869840,64,0.8660254038,-0.5,-0.866025404,-0.5,-3.91887E-15,1,0.8660254038,-0.5,-0.866025404,-0.5,1
01MAY1989,4279168,65,0.5,-0.866025404,-0.866025404,0.5,1,9.309173E-15,-0.866025404,-0.5,0.5,0.8660254038,-1
01JUN1989,4775934,66,4.899825E-15,-1,-9.79965E-15,1,4.886208E-16,-1,-1.95993E-14,1,-3.92258E-15,-1,1
01JUL1989,6145364,67,-0.5,-0.866025404,0.8660254038,0.5,-1,-5.87892E-15,0.8660254038,-0.5,-0.5,0.8660254038,-1
01AUG1989,10242058,68,-0.866025404,-0.5,0.8660254038,-0.5,2.941628E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,1
01SEP1989,8503891,69,-1,-3.1847E-15,6.369401E-15,-1,1,2.448675E-15,-1.27388E-14,1,-1,5.392779E-15,-1
01OCT1989,4272022,70,-0.866025404,0.5,-0.866025404,-0.5,7.838977E-15,-1,0.8660254038,-0.5,0.8660254038,0.5,1
01NOV1989,6394995,71,-0.5,0.8660254038,-0.866025404,0.5,-1,9.815744E-16,-0.866025404,-0.5,-0.5,-0.866025404,-1
01DEC1989,2712844,72,-1.46958E-15,1,-2.93915E-15,1,-4.40873E-15,1,-5.8783E-15,1,6.862974E-15,1,1
01JAN1990,10108380,73,0.5,0.8660254038,0.8660254038,0.5,1,9.799031E-15,0.8660254038,-0.5,0.5,-0.866025404,-1
01FEB1990,7273620,74,0.8660254038,0.5,0.8660254038,-0.5,9.784795E-16,-1,-0.866025404,-0.5,-0.866025404,0.5,1
01MAR1990,7628260,75,1,6.859879E-15,1.371976E-14,-1,-1,-6.36878E-15,-2.74395E-14,1,1,-8.33317E-15,-1
01APR1990,6679694,76,0.8660254038,-0.5,-0.866025404,-0.5,-1.17591E-14,1,0.8660254038,-0.5,-0.866025404,-0.5,1
01MAY1990,3924304,77,0.5,-0.866025404,-0.866025404,0.5,1,2.938533E-15,-0.866025404,-0.5,0.5,0.8660254038,-1
01JUN1990,3387166,78,5.144755E-15,-1,-1.02895E-14,1,8.328836E-15,-1,-2.0579E-14,1,-9.80336E-15,-1,1
01JUL1990,6099520,79,-0.5,-0.866025404,0.8660254038,0.5,-1,4.917157E-16,0.8660254038,-0.5,-0.5,0.8660254038,-1
01AUG1990,7572069,80,-0.866025404,-0.5,0.8660254038,-0.5,-4.89859E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,1
01SEP1990,6921302,81,-1,-3.42963E-15,6.85926E-15,-1,1,1.028889E-14,-1.37185E-14,1,-1,1.127356E-14,-1
01OCT1990,9021678,82,-0.866025404,0.5,-0.866025404,-0.5,1.567919E-14,-1,0.8660254038,-0.5,0.8660254038,0.5,1
01NOV1990,5789416,83,-0.5,0.8660254038,-0.866025404,0.5,-1,7.352214E-15,-0.866025404,-0.5,-0.5,-0.866025404,-1
01DEC1990,4105398,84,-1.71451E-15,1,-3.42901E-15,1,1.961911E-15,1,-6.85802E-15,1,1.274375E-14,1,1
01JAN1991,9771094,85,0.5,0.8660254038,0.8660254038,0.5,1,3.428392E-15,0.8660254038,-0.5,0.5,-0.866025404,-1
01FEB1991,6014135,86,0.8660254038,0.5,0.8660254038,-0.5,8.818695E-15,-1,-0.866025404,-0.5,-0.866025404,0.5,1
01MAR1991,8928203,87,1,7.104808E-15,1.420962E-14,-1,-1,-1.4209E-14,-2.84192E-14,1,1,-1.42139E-14,-1
01APR1991,6941052,88,0.8660254038,-0.5,-0.866025404,-0.5,-1.95993E-14,1,0.8660254038,-0.5,-0.866025404,-0.5,1
01MAY1991,3838498,89,0.5,-0.866025404,-0.866025404,0.5,1,-3.43211E-15,-0.866025404,-0.5,0.5,0.8660254038,-1
01JUN1991,4498658,90,5.389684E-15,-1,-1.07794E-14,1,1.958197E-15,-1,-2.15587E-14,1,-1.56841E-14,-1,1
01JUL1991,6917554,91,-0.5,-0.866025404,0.8660254038,0.5,-1,-7.3485E-15,0.8660254038,-0.5,-0.5,0.8660254038,-1
01AUG1991,7045552,92,-0.866025404,-0.5,0.8660254038,-0.5,-1.27388E-14,1,-0.866025404,-0.5,0.8660254038,-0.5,1
01SEP1991,7803470,93,-1,-3.67456E-15,7.349119E-15,-1,1,1.812911E-14,-1.46982E-14,1,-1,1.715434E-14,-1
01OCT1991,7404920,94,-0.866025404,0.5,-0.866025404,-0.5,-4.9023E-15,-1,0.8660254038,-0.5,0.8660254038,0.5,1
01NOV1991,5029454,95,-0.5,0.8660254038,-0.866025404,0.5,-1,-4.88002E-16,-0.866025404,-0.5,-0.5,-0.866025404,-1
01DEC1991,4902686,96,-1.95943E-15,1,-3.91887E-15,1,-5.8783E-15,1,-7.83774E-15,1,-9.79717E-15,1,1
01JAN1992,9277777,97,0.5,0.8660254038,0.8660254038,0.5,1,1.126861E-14,0.8660254038,-0.5,0.5,-0.866025404,-1
01FEB1992,6994167,98,0.8660254038,0.5,0.8660254038,-0.5,1.665891E-14,-1,-0.866025404,-0.5,-0.866025404,0.5,1
01MAR1992,8203454,99,1,7.349738E-15,1.469948E-14,-1,-1,6.372496E-15,-2.9399E-14,1,1,-2.00947E-14,-1
01APR1992,6261191,100,0.8660254038,-0.5,-0.866025404,-0.5,9.821934E-16,1,0.8660254038,-0.5,-0.866025404,-0.5,1
