DATE,ACTUAL,PREDICT,UPPER,LOWER,ERROR,STD,NERROR,_LINEAR_,_QUAD_,cos1,sin2,cos2,cos3,sin4,sin5,cos5,cos6,cos4
1982-01-01,13837100,12280265.126234265,14810857.959065996,9749672.293402534,1556834.873765735,1291142.51730783,1.2057808126494833,-50,2500,0.8660254037844387,0.8660254037844386,0.5000000000000001,6.123233995736766e-17,0.8660254037844387,0.49999999999999994,-0.8660254037844387,-1,-0.4999999999999998
1982-02-01,8937600,9176795.000606371,11707387.833438102,6646202.16777464,-239195.0006063711,1291142.51730783,-0.18525840284860126,-49,2401,0.5000000000000001,0.8660254037844387,-0.4999999999999998,-1,-0.8660254037844384,-0.8660254037844386,0.5000000000000001,1,-0.5000000000000004
1982-03-01,9269900,10848998.43304744,13379591.265879171,8318405.600215709,-1579098.43304744,1291142.51730783,-1.223024113821322,-48,2304,6.123233995736766e-17,1.2246467991473532e-16,-1,-1.8369701987210297e-16,-2.4492935982947064e-16,1,3.061616997868383e-16,-1,1
1982-04-01,10497400,9294166.888860011,11824759.721691743,6763574.05602828,1203233.1111399885,1291142.51730783,0.9319134758638868,-47,2209,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,1,0.8660254037844392,-0.8660254037844387,-0.49999999999999983,1,-0.4999999999999992
1982-05-01,8337900,6626500.785029495,9157093.617861226,4095907.9521977645,1711399.2149705049,1291142.51730783,1.3254921064321814,-46,2116,-0.8660254037844385,-0.866025403784439,0.49999999999999933,3.061616997868383e-16,-0.8660254037844378,0.5000000000000006,0.8660254037844383,-1,-0.5000000000000013
1982-06-01,6429600,6207880.870828999,8738473.70366073,3677288.0379972686,221719.1291710008,1291142.51730783,0.17172320344101816,-45,2025,-1,-2.4492935982947064e-16,1,-1,-4.898587196589413e-16,6.123233995736766e-16,-1,1,1
1982-07-01,9375500,8547676.368201146,11078269.201032877,6017083.535369415,827823.6317988541,1291142.51730783,0.6411558915470886,-44,1936,-0.8660254037844388,0.8660254037844384,0.5000000000000006,-4.286263797015736e-16,0.8660254037844393,-0.5000000000000001,0.8660254037844386,-1,-0.499999999999999
1982-08-01,9191700,10245466.499716869,12776059.3325486,7714873.666885138,-1053766.4997168686,1291142.51730783,-0.8161504137545438,-43,1849,-0.5000000000000004,0.8660254037844392,-0.4999999999999992,1,-0.8660254037844377,0.8660254037844385,-0.5000000000000003,1,-0.5000000000000016
1982-09-01,12353300,9241295.485053038,11771888.31788477,6710702.652221307,3112004.514946962,1291142.51730783,2.410271889609695,-42,1764,-1.8369701987210297e-16,3.6739403974420594e-16,-1,5.51091059616309e-16,-7.347880794884119e-16,-1,8.578717400397356e-16,-1,1
1982-10-01,9777900,9525612.68202715,12056205.514858881,6995019.849195419,252287.31797285005,1291142.51730783,0.1953985052702749,-41,1681,0.49999999999999933,-0.8660254037844378,-0.5000000000000013,-1,0.8660254037844403,0.8660254037844394,0.49999999999999883,1,-0.4999999999999972
1982-11-01,9134100,8353614.438773811,10884207.271605542,5823021.60594208,780485.5612261891,1291142.51730783,0.6044921848391956,-40,1600,0.8660254037844384,-0.8660254037844392,0.4999999999999991,-2.4499125789312946e-15,-0.8660254037844376,-0.5000000000000016,-0.8660254037844377,-1,-0.5000000000000018
1982-12-01,11450700,8861181.300119556,11391774.132951288,6330588.467287825,2589518.6998804435,1291142.51730783,2.005602530447116,-39,1521,1,-4.898587196589413e-16,1,1,-9.797174393178826e-16,-1.2246467991473533e-15,1,1,1
1983-01-01,9435899,11494769.622102104,14025362.454933835,8964176.789270373,-2058870.6221021041,1291142.51730783,-1.5946114348360776,-38,1444,0.866025403784439,0.8660254037844378,0.5000000000000014,-9.803364199544708e-16,0.8660254037844404,0.5000000000000007,-0.8660254037844383,-1,-0.499999999999997
1983-02-01,7966280,8401348.30493085,10931941.137762582,5870755.47209912,-435068.30493085086,1291142.51730783,-0.3369638123590064,-37,1369,0.5000000000000006,0.8660254037844393,-0.499999999999999,-1,-0.8660254037844375,-0.8660254037844388,0.4999999999999998,1,-0.500000000000002
1983-03-01,10681175,10083600.545828559,12614193.37866029,7553007.712996827,597574.4541714415,1291142.51730783,0.4628260987156151,-36,1296,1.1943401194869635e-15,2.388680238973927e-15,-1,-2.6948419387607653e-15,-4.777360477947854e-15,1,-2.45548340466059e-16,-1,1
1983-04-01,8806186,8538817.810097774,11069410.642929506,6008224.977266043,267368.1899022255,1291142.51730783,0.2070787587877725,-35,1225,-0.4999999999999992,-0.8660254037844377,-0.5000000000000016,1,0.8660254037844405,-0.866025403784439,-0.4999999999999994,1,-0.49999999999999684
1983-05-01,6468370,5881200.5147239,8411793.34755563,3350607.681892169,587169.4852761002,1291142.51730783,0.45476736874904505,-34,1156,-0.8660254037844379,-0.8660254037844402,0.49999999999999734,-7.354070601250002e-16,-0.8660254037844356,0.5000000000000011,0.866025403784438,-1,-0.5000000000000053
1983-06-01,6724201,5472629.408980037,8003222.241811767,2942036.5761483065,1251571.591019963,1291142.51730783,0.9693520074217858,-33,1089,-1,-7.347880794884119e-16,1,-1,-1.4695761589768238e-15,-1.7157434800794711e-15,-1,1,1
1983-07-01,7468720,7822473.714808824,10353066.547640555,5291880.8819770925,-353753.71480882354,1291142.51730783,-0.27398502494243454,-32,1024,-0.8660254037844392,0.8660254037844377,0.5000000000000017,-2.939771298590236e-15,0.8660254037844406,-0.4999999999999981,0.8660254037844397,-1,-0.4999999999999966
