DATE,ESPECTADORES,t,t2,sin1,cos1,sin2,cos2,sin3,cos3,sin4,cos4,sin5,cos5,sin6,cos6
01FEB1985,7678109,38,1444,0.8660254038,0.5,0.8660254038,-0.5,5.879543E-15,-1,-0.866025404,-0.5,-0.866025404,0.5,-1.17591E-14,1
01MAR1985,6948456,39,1521,1,2.572377E-15,5.144755E-15,-1,-1,-4.16442E-15,-1.02895E-14,1,1,-4.90168E-15,8.328836E-15,-1
01APR1985,7715491,40,1600,0.8660254038,-0.5,-0.866025404,-0.5,-2.44929E-15,1,0.8660254038,-0.5,-0.866025404,-0.5,-4.89859E-15,1
01MAY1985,5057673,41,1681,0.5,-0.866025404,-0.866025404,0.5,1,7.839596E-15,-0.866025404,-0.5,0.5,0.8660254038,1.567919E-14,-1
01JUN1985,4756542,42,1764,8.572528E-16,-1,-1.71451E-15,1,-9.80955E-16,-1,-3.42901E-15,1,-6.37188E-15,-1,1.961911E-15,1
01JUL1985,7100544,43,1849,-0.5,-0.866025404,0.8660254038,0.5,-1,-4.40935E-15,0.8660254038,-0.5,-0.5,0.8660254038,8.818695E-15,-1
01AUG1985,9234738,44,1936,-0.866025404,-0.5,0.8660254038,-0.5,-9.79965E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,-1.95993E-14,1
01SEP1985,6327204,45,2025,-1,-2.69484E-15,5.389684E-15,-1,1,9.790985E-16,-1.07794E-14,1,-1,7.842072E-15,1.958197E-15,-1
01OCT1985,8991172,46,2116,-0.866025404,0.5,-0.866025404,-0.5,6.369401E-15,-1,0.8660254038,-0.5,0.8660254038,0.5,-1.27388E-14,1
01NOV1985,5077428,47,2209,-0.5,0.8660254038,-0.866025404,0.5,-1,2.451151E-15,-0.866025404,-0.5,-0.5,-0.866025404,-4.9023E-15,-1
01DEC1985,5534582,48,2304,-9.79717E-16,1,-1.95943E-15,1,-2.93915E-15,1,-3.91887E-15,1,-4.89859E-15,1,-5.8783E-15,1
01JAN1986,11521428,49,2401,0.5,0.8660254038,0.8660254038,0.5,1,8.329455E-15,0.8660254038,-0.5,0.5,-0.866025404,1.665891E-14,-1
01FEB1986,5970190,50,2500,0.8660254038,0.5,0.8660254038,-0.5,-4.91097E-16,-1,-0.866025404,-0.5,-0.866025404,0.5,9.821934E-16,1
01MAR1986,7808768,51,2601,1,2.817307E-15,5.634613E-15,-1,-1,-4.89921E-15,-1.12692E-14,1,1,3.428392E-15,9.798412E-15,-1
01APR1986,7230095,52,2704,0.8660254038,-0.5,-0.866025404,-0.5,3.921346E-15,1,0.8660254038,-0.5,-0.866025404,-0.5,7.842691E-15,1
01MAY1986,4218875,53,2809,0.5,-0.866025404,-0.866025404,0.5,1,1.468957E-15,-0.866025404,-0.5,0.5,0.8660254038,2.937914E-15,-1
01JUN1986,4486385,54,2916,4.654896E-15,-1,-9.30979E-15,1,6.85926E-15,-1,-1.86196E-14,1,1.958197E-15,-1,-1.37185E-14,1
01JUL1986,4231782,55,3025,-0.5,-0.866025404,0.8660254038,0.5,-1,1.961292E-15,0.8660254038,-0.5,-0.5,0.8660254038,-3.92258E-15,-1
01AUG1986,5210469,56,3136,-0.866025404,-0.5,0.8660254038,-0.5,-3.42901E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,-6.85802E-15,1
