tubersem,date
325,"Friday, October 25, 1985"
243,"Friday, November 1, 1985"
326,"Friday, November 8, 1985"
266,"Friday, November 15, 1985"
235,"Friday, November 22, 1985"
274,"Friday, November 29, 1985"
204,"Friday, December 6, 1985"
243,"Friday, December 13, 1985"
135,"Friday, December 20, 1985"
153,"Friday, December 27, 1985"
256,"Friday, January 3, 1986"
267,"Friday, January 10, 1986"
258,"Friday, January 17, 1986"
341,"Friday, January 24, 1986"
264,"Friday, January 31, 1986"
310,"Friday, February 7, 1986"
299,"Friday, February 14, 1986"
236,"Friday, February 21, 1986"
312,"Friday, February 28, 1986"
273,"Friday, March 7, 1986"
284,"Friday, March 14, 1986"
206,"Friday, March 21, 1986"
301,"Friday, March 28, 1986"
187,"Friday, April 4, 1986"
320,"Friday, April 11, 1986"
278,"Friday, April 18, 1986"
248,"Friday, April 25, 1986"
281,"Friday, May 2, 1986"
301,"Friday, May 9, 1986"
316,"Friday, May 16, 1986"
291,"Friday, May 23, 1986"
272,"Friday, May 30, 1986"
292,"Friday, June 6, 1986"
323,"Friday, June 13, 1986"
289,"Friday, June 20, 1986"
270,"Friday, June 27, 1986"
303,"Friday, July 4, 1986"
305,"Friday, July 11, 1986"
226,"Friday, July 18, 1986"
207,"Friday, July 25, 1986"
205,"Friday, August 1, 1986"
182,"Friday, August 8, 1986"
205,"Friday, August 15, 1986"
166,"Friday, August 22, 1986"
165,"Friday, August 29, 1986"
263,"Friday, September 5, 1986"
238,"Friday, September 12, 1986"
294,"Friday, September 19, 1986"
189,"Friday, September 26, 1986"
293,"Friday, October 3, 1986"
323,"Friday, October 10, 1986"
264,"Friday, October 17, 1986"
297,"Friday, October 24, 1986"
257,"Friday, October 31, 1986"
248,"Friday, November 7, 1986"
249,"Friday, November 14, 1986"
233,"Friday, November 21, 1986"
224,"Friday, November 28, 1986"
331,"Friday, December 5, 1986"
197,"Friday, December 12, 1986"
176,"Friday, December 19, 1986"
163,"Friday, December 26, 1986"
208,"Friday, January 2, 1987"
215,"Friday, January 9, 1987"
271,"Friday, January 16, 1987"
234,"Friday, January 23, 1987"
239,"Friday, January 30, 1987"
262,"Friday, February 6, 1987"
260,"Friday, February 13, 1987"
260,"Friday, February 20, 1987"
216,"Friday, February 27, 1987"
177,"Friday, March 6, 1987"
258,"Friday, March 13, 1987"
251,"Friday, March 20, 1987"
199,"Friday, March 27, 1987"
186,"Friday, April 3, 1987"
191,"Friday, April 10, 1987"
193,"Friday, April 17, 1987"
238,"Friday, April 24, 1987"
207,"Friday, May 1, 1987"
222,"Friday, May 8, 1987"
245,"Friday, May 15, 1987"
196,"Friday, May 22, 1987"
197,"Friday, May 29, 1987"
173,"Friday, June 5, 1987"
170,"Friday, June 12, 1987"
189,"Friday, June 19, 1987"
185,"Friday, June 26, 1987"
155,"Friday, July 3, 1987"
193,"Friday, July 10, 1987"
153,"Friday, July 17, 1987"
160,"Friday, July 24, 1987"
162,"Friday, July 31, 1987"
165,"Friday, August 7, 1987"
139,"Friday, August 14, 1987"
150,"Friday, August 21, 1987"
131,"Friday, August 28, 1987"
145,"Friday, September 4, 1987"
176,"Friday, September 11, 1987"
143,"Friday, September 18, 1987"
147,"Friday, September 25, 1987"
113,"Friday, October 2, 1987"
164,"Friday, October 9, 1987"
146,"Friday, October 16, 1987"
145,"Friday, October 23, 1987"
125,"Friday, October 30, 1987"
166,"Friday, November 6, 1987"
169,"Friday, November 13, 1987"
161,"Friday, November 20, 1987"
140,"Friday, November 27, 1987"
120,"Friday, December 4, 1987"
119,"Friday, December 11, 1987"
76,"Friday, December 18, 1987"
153,"Friday, December 25, 1987"
204,"Friday, January 1, 1988"
176,"Friday, January 8, 1988"
202,"Friday, January 15, 1988"
184,"Friday, January 22, 1988"
253,"Friday, January 29, 1988"
192,"Friday, February 5, 1988"
211,"Friday, February 12, 1988"
194,"Friday, February 19, 1988"
214,"Friday, February 26, 1988"
195,"Friday, March 4, 1988"
167,"Friday, March 11, 1988"
181,"Friday, March 18, 1988"
207,"Friday, March 25, 1988"
223,"Friday, April 1, 1988"
225,"Friday, April 8, 1988"
178,"Friday, April 15, 1988"
