activos
13107580
13047851
12994325
12958683
13017023
13047126
13045460
12972851
13017121
13004781
13036982
12973229
13053762
13073164
13081325
13009416
13029381
13059520
13056149
13017089
13113969
13149791
13184496
13163970
13252367
13347067
13317043
13313255
13424552
13484902
13473741
13397558
13484171
13530218
13558370
13504402
13588910
13666829
13721581
13758761
13835775
13939148
14023070
14266029
14439525
14497797
14552909
14607549
14701013
14620747
14701690
14749499
14895247
14929945
14992374
14994705
15048602
15044086
15000146
15010298
15157009
15125090
15081044
15143745
15201330
15193046
15182021
15264263
15423216
15405807
15428056
15490575
15485840
15468477
15507691
15564934
15707001
15721998
15791477
15877827
16039493
16035437
16018804
16071371
